Agricultural Zone,Month,Week,Rainfall (mm),Mean Temp. (*C),RHmean (%),SShr (hrs),WD (deg),WS (Km/hr),label
Chittagonj,September,1,118.3,28.3,85.0,36.8,179.0,9.1,robi pumpkin Cucurbita
Cumilla,October,3,30.5,28.0,80.6,44.5,201.0,4.3,robi pumpkin Cucurbita
Dhaka,October,3,40.5,27.9,77.6,47.5,192.0,4.1,robi pumpkin Cucurbita
Jashore,November,1,9.0,25.9,76.0,45.5,153.0,2.5,robi pumpkin Cucurbita
Khulna,October,3,31.5,28.3,79.8,49.5,193.0,4.1,robi pumpkin Cucurbita
Mymensingh,October,1,71.0,28.5,84.1,40.0,181.0,4.3,robi pumpkin Cucurbita
Rajshahi,November,1,7.0,27.4,78.5,53.0,146.0,3.9,robi pumpkin Cucurbita
Sylhet,October,1,63.0,27.9,83.8,71.2,190.0,83.3,robi pumpkin Cucurbita
Barisal,March,1,5.3,25.6,71.2,54.0,226.0,5.2,khorip pumpkin Cucurbita
Bogra,April,1,8.0,28.1,66.2,56.0,173.0,6.7,khorip pumpkin Cucurbita
Chittagonj,April,1,21.3,27.8,76.7,56.0,209.0,10.0,khorip pumpkin Cucurbita
Cumilla,February,1,3.0,20.2,71.1,47.0,203.0,4.6,khorip pumpkin Cucurbita
Dhaka,March,1,30.0,23.7,63.0,56.0,234.0,5.0,khorip pumpkin Cucurbita
Jashore,April,1,11.5,29.2,66.9,55.5,209.0,5.1,khorip pumpkin Cucurbita
Khulna,February,1,5.5,20.3,70.0,52.5,190.0,4.9,khorip pumpkin Cucurbita
Mymensingh,April,1,20.0,27.0,72.5,49.0,149.0,7.2,khorip pumpkin Cucurbita
Rajshahi,April,1,13.0,29.1,61.6,57.0,185.0,6.1,khorip pumpkin Cucurbita
Sylhet,April,1,20.0,27.0,72.5,49.0,149.0,7.2,khorip pumpkin Cucurbita
Barisal,April,1,18.0,28.5,77.3,53.0,200.0,6.9,Aush
Bogra,May,1,45.0,28.9,76.449,49.0,126.0,6.7,Aush
Chittagonj,April,1,21.3,27.8,76.7,56.0,209.0,10.0,Aush
Cumilla,May,1,66.0,28.9,79.6,46.5,183.0,7.5,Aush
Dhaka,May,1,46.0,28.6,74.5,51.5,159.0,6.8,Aush
Sylhet,May,1,107.5,27.1,79.4,43.5,163.0,6.8,Aush
Rangpur,April,1,11.0,26.2,69.1,51.5,148.0,8.3,Aush
Rangamati,April,1,21.0,27.7,69.8,55.0,205.0,6.1,Aush
Rajshahi,June,1,48.0,30.5,78.6,48.0,139.0,6.7,Aush
Mymensingh,May,1,62.0,27.8,79.3,44.0,134.0,6.8,Aush
Khulna,May,1,17.5,30.1,72.8,61.5,192.0,7.6,Aush
Jashore,June,1,49.5,30.7,78.1,41.5,183.0,4.6,Aush
Faridpur,April,1,18.0,28.5,77.3,53.0,200.0,6.9,Aush
Dinajpur,April,1,8.0,26.7,63.8,52.0,171.0,5.6,Aush
Dhaka,May,1,21.0,29.0,69.2,54.0,175.0,6.6,Aush
