Agricultural zone,month(chara),rainfall (mm),temperature(avg),humidity(avg),sunlight(hour),direction of wind(deg),velocity of wind(km/h),label,,,,
Bogra,5,45,28.9,76.449,49,126,6.7,Aush,,,,
Chittagonj,4,21.3,27.8,76.7,56,209,10,Aush,,,,
Cumilla,5,66,28.9,79.6,46.5,183,7.5,Aush,,,,
Dhaka,5,46,28.6,74.5,51.5,159,6.8,Aush,,,,
Sylhet,5,107.5,27.1,79.4,43.5,163,6.8,Aush,,,,
Rangpur,4,11,26.2,69.1,51.5,148,8.3,Aush,,,,
Rangamati,4,21,27.7,69.8,55,205,6.1,Aush,,,,
Rajshahi,6,48,30.5,78.6,48,139,6.7,Aush,,,,
Mymensingh,5,62,27.8,79.3,44,134,6.8,Aush,,,,
Khulna,5,17.5,30.1,72.8,61.5,192,7.6,Aush,,,,
Jashore,6,49.5,30.7,78.1,41.5,183,4.6,Aush,,,,
Faridpur,4,18,28.5,77.3,53,200,6.9,Aush,,,,
Dinajpur,4,8,26.7,63.8,52,171,5.6,Aush,,,,
Dhaka,5,21,29,69.2,54,175,6.6,Aush,,,,
